279066631451502998554337906829144231884,,root,0,,,10.245.195.5,1583172727.1033268
13281426815274877207508054261761420345,2013,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178791.9367938
114044891539143426262049873781471722931,New York City,ui,3,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178792.5644913
194609642891996105544707773902144948191,@ArianaGrande,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178793.2044518
255622194164402283946789584320028769476,#MeToo,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178803.0669284
107124717642168782745491875342210828373,😊,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178803.5530477
293172293595552629942321494089279708988,God,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178804.0462165
182584507642843570184945517930948766363,2013,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178804.6689763
98783392746231724675042696273009877722,@ArianaGrande,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178805.2246618
28661916601133366733985924390827443310,New York City,ui,3,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178805.6970289
304471409433571368702136012796310074334,#MeToo,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178854.1287436
243797589959986255725677815269639167589,😊,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178854.5677614
168502598742351386250857475308181335112,God,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178855.0742946
102899963085860846287795311936613568286,2013,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178855.7302585
127839228515678354429453024228060932131,@ArianaGrande,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178856.0678914
158372114361217781832437350444650259578,New York City,ui,3,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178856.405515
51676428287321625143570880525014541364,#MeToo,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178935.7427764
184756316678586445772155966139638322762,😊,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178936.2267525
238056115563886842798941265578387317957,God,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178936.7300224
228249686356957182361444289589876587514,2013,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178937.3798776
128216954482707055467122390851307094762,@ArianaGrande,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178938.0343955
116254043718682551647483751078530803438,New York City,ui,3,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178938.6514115
73976739428386312187465216606810645765,#MeToo,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178941.5199387
123542391647117020055014686473261154920,😊,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178941.8934546
165451994565461055721178072921129042478,God,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178942.3875422
200674026427426685483346506291316942581,2013,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178943.0808752
213325324938520791532831751502233027650,@ArianaGrande,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178943.7178187
29754750269464794711080226159973795392,New York City,ui,3,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178944.022145
100586190519917951646700449815767221911,#MeToo,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583179039.9309344
57529263110875465933279593549810486541,😊,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583179040.3107257
260197238498928965845204805506684658694,God,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583179040.812057
220089267777270902119493835477006038607,2013,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583179041.5290465
112522485387380239975884433815262681370,@ArianaGrande,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583179042.1895502
215271763115447646570088390434749008437,New York City,ui,3,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583179042.500282
55566754996278061264621024611847098019,#MeToo,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583179043.3942826
102326488060643641950041810904532922550,God,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583179043.7836897
