,utf,url,name
180,U+005d,https://www.fileformat.info/info/unicode/char/005d/right_square_bracket.svg,:right_square_bracket:
181,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
182,U+005b,https://www.fileformat.info/info/unicode/char/005b/left_square_bracket.svg,:left_square_bracket:
183,U+26e4,https://www.fileformat.info/info/unicode/char/26e4/pentagram.svg,:pentagram:
184,U+002d,https://www.fileformat.info/info/unicode/char/002d/hyphenminus.svg,:hyphenminus:
185,U+26e7,https://www.fileformat.info/info/unicode/char/26e7/inverted_pentagram.svg,:inverted_pentagram:
186,U+005d,https://www.fileformat.info/info/unicode/char/005d/right_square_bracket.svg,:right_square_bracket:
187,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
188,U+26e3,https://www.fileformat.info/info/unicode/char/26e3/heavy_circle_with_stroke_and_two_dots_above.svg,:heavy_circle_with_stroke_and_two_dots_above:
189,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
190,U+26e2,https://www.fileformat.info/info/unicode/char/26e2/astronomical_symbol_for_uranus.svg,:astronomical_symbol_for_uranus:
191,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
192,U+26d4,https://www.fileformat.info/info/unicode/char/26d4/no_entry.svg,:no_entry:
193,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
194,U+005b,https://www.fileformat.info/info/unicode/char/005b/left_square_bracket.svg,:left_square_bracket:
195,U+26d3,https://www.fileformat.info/info/unicode/char/26d3/chains.svg,:chains:
196,U+002d,https://www.fileformat.info/info/unicode/char/002d/hyphenminus.svg,:hyphenminus:
197,U+26d4,https://www.fileformat.info/info/unicode/char/26d4/no_entry.svg,:no_entry:
198,U+005d,https://www.fileformat.info/info/unicode/char/005d/right_square_bracket.svg,:right_square_bracket:
199,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
200,U+26d1,https://www.fileformat.info/info/unicode/char/26d1/helmet_with_white_cross.svg,:helmet_with_white_cross:
201,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
202,U+005b,https://www.fileformat.info/info/unicode/char/005b/left_square_bracket.svg,:left_square_bracket:
203,U+26cf,https://www.fileformat.info/info/unicode/char/26cf/pick.svg,:pick:
204,U+002d,https://www.fileformat.info/info/unicode/char/002d/hyphenminus.svg,:hyphenminus:
205,U+26e1,https://www.fileformat.info/info/unicode/char/26e1/restricted_left_entry2.svg,:restricted_left_entry2:
206,U+005d,https://www.fileformat.info/info/unicode/char/005d/right_square_bracket.svg,:right_square_bracket:
207,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
208,U+26cf,https://www.fileformat.info/info/unicode/char/26cf/pick.svg,:pick:
209,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
210,U+26ce,https://www.fileformat.info/info/unicode/char/26ce/ophiuchus.svg,:ophiuchus:
211,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
212,U+26c8,https://www.fileformat.info/info/unicode/char/26c8/thunder_cloud_and_rain.svg,:thunder_cloud_and_rain:
213,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
